day,Kim,paco,tabixe,cutiglias,Manu,bcalle
2019-07-31,,103,,,,
2019-08-01,,110,,,,
2019-08-02,,95,,,,
2019-08-03,,43,,,,
2019-08-04,,42,,,,
2019-08-05,,164,,,,
2019-08-06,,0,,,,
2019-08-07,,65,,,,
2019-08-08,,115,,,,
2019-08-09,,131,,,,
2019-08-10,,0,,,,
2019-08-11,,0,,,,
2019-08-12,,150,,,,
2019-08-13,,208,,,,
2019-08-14,,185,,,,
2019-08-15,,170,,,,
2019-08-16,,145,,,,
2019-08-17,,54,,,,
2019-08-18,,60,,,,
2019-08-19,,245,,,,
2019-08-20,,230,,,,
2019-08-21,,87,,,,
2019-08-22,,135,,,,
2019-08-23,,38,,,,
2019-08-24,,0,,,,
2019-08-25,,0,,,,
2019-08-26,,0,,,,
2019-08-27,,0,,,,
2019-08-28,,0,,,,
2019-08-29,,0,,,,
2019-08-30,,0,,,,
2019-08-31,,0,,,,
2019-09-01,,0,,,,
2019-09-02,,200,,,,
2019-09-03,,205,,,,
2019-09-04,,245,,,,
2019-09-05,,173,,,,
2019-09-06,,0,,,,
2019-09-07,,69,,,,
2019-09-08,,0,,,,
2019-09-09,,187,,,,
2019-09-10,,221,,,,
2019-09-11,,185,,,,
2019-09-12,,200,,,,
2019-09-13,,215,,,,
2019-09-14,,0,,,,
2019-09-15,,0,,,,
2019-09-16,,192,,,,
2019-09-17,,170,,,,
2019-09-18,,215,,,,
2019-09-19,,190,,,,
2019-09-20,,140,,,,
2019-09-21,,0,,,,
2019-09-22,,40,,,,
2019-09-23,,195,,,,
2019-09-24,,50,200,,,
2019-09-25,,246,135,,,
2019-09-26,,161,200,,,
2019-09-27,,135,172,,,
2019-09-28,,25,,,,
2019-09-29,,0,,,,
2019-09-30,,320,192,,,
2019-10-01,,180,160,,,
2019-10-02,,333,255,,,
2019-10-03,,205,355,,,
2019-10-04,,150,250,,,
2019-10-05,,70,,,,
2019-10-06,,0,,,,
2019-10-07,,220,130,,,
2019-10-08,,215,200,,,
2019-10-09,,215,305,,,
2019-10-10,,221,325,,,
2019-10-11,,142,215,,,
2019-10-12,,78,,,,
2019-10-13,,0,,,,
2019-10-14,,228,260,150,,
2019-10-15,,209,275,245,,
2019-10-16,,220,205,125,,
2019-10-17,,261,260,150,,
2019-10-18,,70,285,150,,
2019-10-19,,0,,150,,
2019-10-20,,0,,150,,
2019-10-21,,237,335,155,,
2019-10-22,,230,170,120,,
2019-10-23,,168,185,30,,
2019-10-24,,210,240,100,,
2019-10-25,,115,,,,
2019-10-26,,70,,,,
2019-10-27,,64,,,,
2019-10-28,,220,210,125,,
2019-10-29,,291,,100,,
2019-10-30,,275,,100,,
2019-10-31,,228,280,300,,
2019-11-01,,248,245,80,,
2019-11-02,,148,,,,
2019-11-03,,95,,,,
2019-11-04,,290,275,165,,
2019-11-05,,213,342,125,,
2019-11-06,,135,230,175,,
2019-11-07,,385,295,130,,
2019-11-08,,140,239,25,,
2019-11-09,,0,,25,,
2019-11-10,,94,,,,
2019-11-11,,222,206,215,,
2019-11-12,,220,,190,,
2019-11-13,,270,,265,,
2019-11-14,,195,325,280,,
2019-11-15,,450,,115,,
2019-11-16,,0,,,,
2019-11-17,,0,,,,
2019-11-18,,245,,140,,
2019-11-19,,220,255,130,,
2019-11-20,,140,375,150,,
2019-11-21,,287,455,160,,
2019-11-22,,250,270,30,,
2019-11-23,,0,,,,
2019-11-24,,0,,,,
2019-11-25,,167,255,160,,
2019-11-26,,140,255,305,,
2019-11-27,,208,260,285,,
2019-11-28,,243,405,160,,
2019-11-29,,133,255,110,,
2019-11-30,,0,,,,
2019-12-01,,140,,,,
2019-12-02,,220,290,185,,
2019-12-03,,145,375,190,,
2019-12-04,,165,250,160,,
2019-12-05,,179,365,210,,
2019-12-06,,169,315,,,
2019-12-07,,0,,,,
2019-12-08,,0,,,,
2019-12-09,,30,295,,,
2019-12-10,,0,50,,,
2019-12-11,,140,,165,,
2019-12-12,,98,,290,,
2019-12-13,,0,,,,
2019-12-14,,0,,,,
2019-12-15,,0,,,,
2019-12-16,,133,,,,
2019-12-17,,150,,290,,
2019-12-18,,145,,190,,
2019-12-19,,116,,,,
2019-12-20,,70,,,,
2019-12-21,,0,,,,
2019-12-22,,0,,,,
2019-12-23,,0,,,,
2019-12-24,,0,,,,
2019-12-25,,0,,,,
2019-12-26,,0,,,,
2019-12-27,,0,,,,
2019-12-28,,0,,,,
